Day,YTS,WIP,APPROVED
0,91,0,0
1,90,1,0
4,73,7,0
9,72,6,0
9,67,38,0
10,67,39,0
10,67,39,0
10,67,6,0
10,64,9,0
13,63,8,0
13,63,8,0
13,63,8,0
16,61,4,0
17,61,5,0
17,60,5,0
17,61,5,0
18,62,5,0
20,62,5,0
20,62,5,0
21,62,7,0
25,84,7,0
25,82,9,0
27,82,8,0
28,78,9,0
29,101,9,0
29,106,9,0
29,106,9,0
30,100,10,0
30,77,38,0
30,76,38,0
30,67,42,0
30,46,54,0
30,46,52,0
31,52,53,0
31,52,30,0
31,53,33,0
31,53,18,0
34,52,18,0
35,52,19,0
35,52,18,0
35,52,9,0
36,51,9,0
36,52,7,0
37,23,13,0
37,23,14,0
38,23,8,0
39,23,8,0
41,23,8,0
42,23,22,0
52,23,28,0
52,20,28,0
60,20,28,0
87,20,23,21
88,18,24,23
88,24,27,24
92,19,23,34
93,18,23,37
128,20,23,37
